iter	Logloss
0	0.6900493031
1	0.6863961098
2	0.6836106174
3	0.6802298413
4	0.6771001677
5	0.6742194508
6	0.6711644499
7	0.668322786
8	0.6650843935
9	0.6621284794
10	0.6590409582
11	0.656029731
12	0.6530181223
13	0.6498406696
14	0.6465080541
15	0.644030217
16	0.6412592204
17	0.6392308978
18	0.637035396
19	0.6343347329
20	0.6314863933
21	0.6292151698
22	0.6266154054
23	0.6251345396
24	0.6226176496
25	0.6200443497
26	0.6167688592
27	0.6140532711
28	0.6111471865
29	0.6084899156
30	0.6057681285
31	0.6032548625
32	0.6006303979
33	0.5979232975
34	0.5955929938
35	0.5929923235
36	0.5908361608
37	0.5885955026
38	0.5862746403
39	0.5841641587
40	0.582890288
41	0.5808861887
42	0.579048744
43	0.5766978887
44	0.5749530935
45	0.5727707048
46	0.5703902379
47	0.5680603157
48	0.5657851345
49	0.5638506057
50	0.562169516
51	0.5600053902
52	0.5582029931
53	0.5563317883
54	0.5543789014
55	0.5525389772
56	0.5509297468
57	0.5496016597
58	0.5479555698
59	0.5465077966
60	0.544943532
61	0.5437337005
62	0.5416270335
63	0.5397117214
64	0.5382017208
65	0.5368800234
66	0.5356727668
67	0.534132964
68	0.5326267305
69	0.5306739866
70	0.5289579447
71	0.5274127059
72	0.5259255936
73	0.524358611
74	0.5229878469
75	0.521384434
76	0.5203030625
77	0.5187408483
78	0.5177326713
79	0.5167237791
80	0.5149033575
81	0.5132668044
82	0.5119559311
83	0.5107401868
84	0.5096334476
85	0.5085046784
86	0.5073830619
87	0.5060998928
88	0.5049316416
89	0.5037708767
90	0.5025864606
91	0.5015940669
92	0.500196743
93	0.4986542699
94	0.4974184031
95	0.4966649049
96	0.4958262436
97	0.4946920385
98	0.4930171953
99	0.4922685608
100	0.4918560489
101	0.4907561285
102	0.4897109966
103	0.4888218858
104	0.4879743553
105	0.4870735144
106	0.4857630703
107	0.4845588178
108	0.4834461181
109	0.4824871984
110	0.4815948928
111	0.4803772889
112	0.4790185888
113	0.4779322582
114	0.4769321398
115	0.4761166527
116	0.4752565337
117	0.4741838406
118	0.473103995
119	0.472016806
120	0.471287102
121	0.4699252071
122	0.4693582476
123	0.4684798657
124	0.4673279223
125	0.4668263849
126	0.4659886772
127	0.4654509002
128	0.464637082
129	0.4639815262
130	0.4628975797
131	0.4620911526
132	0.4611705706
133	0.4602092667
134	0.4594832343
135	0.4583500306
136	0.4572812953
137	0.4564952767
138	0.4560886299
139	0.4553548728
140	0.4544424447
141	0.4539467247
142	0.4529773622
143	0.4522673516
144	0.4516353038
145	0.4507281209
146	0.4496411227
147	0.4490814589
148	0.44862627
149	0.4478923698
150	0.4472344298
